algorithm,alpha,n_clients,partition_seed,model_seed,round,val_macro_f1,val_loss,diverged,diverged_at
fedavg_sgd,0.1,30,102,44,22,0.3894513410276135,0.09694578759654754,False,
fedavg_sgd,0.1,30,102,44,23,0.3905238667677801,0.1015859387969388,False,
fedavg_sgd,0.1,30,102,44,24,0.38861679966490953,0.09881272749045927,False,
fedavg_sgd,0.1,30,102,44,25,0.3930735582320899,0.10195704950352945,False,
fedavg_sgd,0.1,30,102,44,26,0.4051768639885448,0.10252031543513565,False,
fedavg_sgd,0.1,30,102,44,27,0.4139152325175497,0.10068210990463626,False,
fedavg_sgd,0.1,30,102,44,28,0.40493712382218366,0.10329303486206687,False,
fedavg_sgd,0.1,30,102,44,29,0.4056675992779557,0.10529906096370976,False,
fedavg_sgd,0.1,30,102,44,30,0.4060102076517581,0.10469367334699675,False,
fedavg_sgd,0.1,30,102,44,31,0.4163177900209025,0.10208541822280862,False,
fedavg_sgd,0.1,30,102,44,32,0.41964736856236745,0.10510424328691884,False,
fedavg_sgd,0.1,30,102,44,33,0.4194186091637387,0.10470076812377653,False,
fedavg_sgd,0.1,30,102,44,34,0.4366072783450667,0.1050233382966012,False,
fedavg_sgd,0.1,30,102,44,35,0.4232014089455041,0.10690703044854577,False,
fedavg_sgd,0.1,30,102,44,36,0.45643438036103223,0.10766573284012619,False,
fedavg_sgd,0.1,30,102,44,37,0.4166287516463358,0.10986484591605178,False,
fedavg_sgd,0.1,30,102,44,38,0.43381398235732366,0.10447958661351148,False,
fedavg_sgd,0.1,30,102,44,39,0.44125082512242053,0.10532617126765607,False,
fedavg_sgd,0.1,30,102,44,40,0.43179275888801755,0.10624591958341234,False,
fedavg_sgd,0.1,30,102,44,41,0.4301285533095586,0.10637946894791454,False,
fedavg_sgd,0.1,30,102,44,42,0.4409582690697306,0.10340461822152758,False,
fedavg_sgd,0.1,30,102,44,43,0.4583559597451196,0.10438762956594973,False,
fedavg_sgd,0.1,30,102,44,44,0.4412183353439086,0.10204212028652786,False,
fedavg_sgd,0.1,30,102,44,45,0.4567638950532682,0.10248711309744919,False,
