# mean_recall_pre_local / mean_recall_post_local / mean_max_local_recall are LOCAL FITTING/RETENTION EVIDENCE on the holder's own training rows (own_client_rows), not independent local-generalization evidence -- they are evaluated on the same rows the client just trained on this round.
# mean_global_recall and everything downstream of it (aggregation_recall_loss, aggregation_margin_change) are NaN where class_evaluable=False: that class has zero true support in the validation split, so global recall is 0/NaN by sklearn construction regardless of what was learned locally, and is not a measurable erosion event.
anchor,algorithm,class,n_seeds,class_evaluable,mean_recall_pre_local,mean_recall_post_local,mean_max_local_recall,mean_global_recall,mean_local_learning_gain,mean_aggregation_recall_loss,median_aggregation_recall_loss,mean_aggregation_margin_change,median_aggregation_margin_change
heavy_a0.1_nc30,fednova_sgd,Password Cracking,5,False,0.9999971863679527,0.9999985931839763,0.9999985931839763,0.0,1.4068160236302419e-06,,,,
heavy_a0.1_nc30,fednova_sgd,Regular,5,True,0.6741372495000524,0.986781378297289,0.999240593717639,0.9950135955314643,0.31264412879723663,0.00422699818617458,0.0038379661146742405,-4.7529452796759735,-4.718493665645122
heavy_a0.1_nc30,fednova_sgd,Replay,5,True,0.0,1.0,1.0,0.0,1.0,1.0,1.0,-12.745552430122105,-15.128959891149014
heavy_a0.1_nc30,fednova_sgd,Unauth,5,True,0.5991953030865055,1.0,1.0,0.3975903614457831,0.4008046969134945,0.6024096385542169,1.0,-11.780853403259194,-11.294523292970895
heavy_a0.1_nc30,fednova_sgd,Video,5,True,0.9683502121325516,0.9261507299583016,0.9998244514106582,0.507975357975358,-0.04219948217425011,0.4918490934353003,0.5044955044955045,-8.869289056964693,-8.92859204689064
light_a1.0_nc10,fedavg_sgd,DoS,4,True,0.9996314544249696,0.9995397348408033,0.9999738023298461,0.999641046837949,-9.171958416626103e-05,0.0003327554918971243,0.00034646705798252464,-12.315999990452593,-13.772839015632398
light_a1.0_nc10,fedavg_sgd,Injection,4,True,0.8248131001247714,0.9956931502442619,1.0,0.43211334120425027,0.1708800501194905,0.5678866587957497,0.553128689492326,-14.10011442189314,-14.108113731147666
light_a1.0_nc10,fedavg_sgd,Ip Spoofing,4,True,0.6422607901988105,0.8935545766648703,0.999164895232311,0.5265460910151691,0.25129378646605965,0.47261880421714175,0.4909209486123991,-8.866196627110495,-9.001714406417591
light_a1.0_nc10,fedavg_sgd,MITM,4,True,0.7025115189743367,0.9548378744412129,0.995043506947015,0.8066607394235756,0.2523263554668763,0.1883827675234394,0.1882859035997399,-8.099030471706744,-7.68017720684025
light_a1.0_nc10,fedavg_sgd,Manipulation,4,True,0.8462748731284431,0.9893878841803739,1.0,0.6274409044193217,0.1431130110519308,0.37255909558067835,0.30986639260020554,-10.915523655309988,-10.891974549234966
light_a1.0_nc10,fedavg_sgd,Password Cracking,4,False,0.9998733865578728,0.9999560369992614,0.9999560369992614,0.0,8.265044138858202e-05,,,,
light_a1.0_nc10,fedavg_sgd,Regular,4,True,0.9785749479636974,0.9421334463419337,0.9993967012120306,0.9765499200783292,-0.03644150162176363,0.022846781133701505,0.024268006884554105,-4.11281209915338,-4.001325814875978
