alpha,n_clients,partition_seed,class,fedavg_sgd,fednova_sgd,partition_id,hhi,n_holders,holder_fraction,rescued
1.0,30,102,MITM,0.0,0.0,1.0_30_102,0.19743516355061153,7,0.23333333333333334,False
1.0,30,102,Manipulation,1.0,0.0,1.0_30_102,0.2502406363820241,4,0.13333333333333333,True
1.0,30,102,Regular,0.0,0.0,1.0_30_102,0.08926359586679522,17,0.5666666666666667,False
1.0,30,102,Replay,0.0,1.0,1.0_30_102,0.36712837442894874,3,0.1,False
1.0,30,102,Unauth,1.0,0.0,1.0_30_102,0.3026608809993425,4,0.13333333333333333,True
1.0,30,102,Video,0.0,0.0,1.0_30_102,0.5051916432684074,3,0.1,False
1.0,30,103,DoS,0.0,0.0,1.0_30_103,0.13507026688283957,11,0.36666666666666664,False
1.0,30,103,Injection,0.0,0.0,1.0_30_103,0.21210345356524213,5,0.16666666666666666,False
1.0,30,103,Ip Spoofing,1.0,0.0,1.0_30_103,0.19300396638209194,6,0.2,True
1.0,30,103,MITM,0.0,0.0,1.0_30_103,0.20859570273342212,6,0.2,False
1.0,30,103,Manipulation,0.0,1.0,1.0_30_103,0.2502406363820241,4,0.13333333333333333,False
1.0,30,103,Regular,0.0,0.0,1.0_30_103,0.14765054350519677,17,0.5666666666666667,False
1.0,30,103,Replay,1.0,0.0,1.0_30_103,0.25043120331669394,4,0.13333333333333333,True
1.0,30,103,Unauth,0.0,0.0,1.0_30_103,0.3456641683103221,4,0.13333333333333333,False
1.0,30,103,Video,0.0,0.0,1.0_30_103,0.2118301710587672,5,0.16666666666666666,False
