seed,round,class,client_id,role,fedavg_weight,update_norm,weighted_contribution_norm,cosine_update_vs_aggregate
11,1,Replay,3,non_holder,0.08175443067881731,0.26830512285232544,0.021935133263468742,0.9703611731529236
11,1,Replay,4,holder,0.06399450821860342,0.18966259062290192,0.012137363664805889,-0.3646996319293976
11,1,Replay,5,non_holder,0.052472836425095884,0.20666547119617462,0.01084432378411293,0.9379987716674805
11,1,Replay,6,non_holder,0.2406300665729666,0.44928473234176636,0.1081114113330841,0.9722207188606262
11,1,Replay,7,non_holder,0.026203164285561475,0.10426223278045654,0.002732000546529889,0.9452862739562988
11,1,Replay,8,non_holder,0.09916879135230468,0.3169156014919281,0.03142813593149185,0.9544788002967834
11,1,Replay,9,non_holder,0.024786500486949116,0.10531838983297348,0.002610474359244108,0.9620018005371094
11,1,Replay,10,holder,0.035486358448497346,0.12982532382011414,0.004607027862221003,-0.7327516078948975
11,1,Replay,11,non_holder,0.03317718715496144,0.12627024948596954,0.004189291503280401,0.9448527693748474
11,1,Replay,12,non_holder,0.01581073073993011,0.06933046877384186,0.0010961652733385563,0.9550169110298157
11,1,Replay,13,non_holder,0.039270329776635936,0.1524636149406433,0.005987296346575022,0.9406644701957703
11,1,Replay,14,non_holder,0.04655596287094407,0.1823107749223709,0.008487652987241745,0.9539526104927063
11,5,Manipulation,0,non_holder,0.17920750543457536,0.23636043071746826,0.042357563972473145,0.9434629678726196
11,5,Manipulation,1,non_holder,0.033765990953071506,0.13564017415046692,0.004580024629831314,0.9659938216209412
11,5,Manipulation,2,holder,0.027715636601085895,0.10626208782196045,0.002945121144875884,-0.8416445851325989
11,5,Manipulation,3,non_holder,0.08175443067881731,0.15840157866477966,0.012950031086802483,0.9630272388458252
11,5,Manipulation,4,non_holder,0.06399450821860342,0.2238532453775406,0.014325377531349659,0.9637875556945801
11,5,Manipulation,5,non_holder,0.052472836425095884,0.15957719087600708,0.008373468182981014,0.9862643480300903
11,5,Manipulation,6,non_holder,0.2406300665729666,0.38032758235931396,0.09151825308799744,0.9858729839324951
11,5,Manipulation,7,non_holder,0.026203164285561475,0.0961771234869957,0.0025201451499015093,0.9857167601585388
11,5,Manipulation,8,non_holder,0.09916879135230468,0.1361440122127533,0.013501238077878952,0.96164870262146
11,5,Manipulation,9,non_holder,0.024786500486949116,0.08026476949453354,0.00198948266915977,0.9812160730361938
11,5,Manipulation,10,non_holder,0.035486358448497346,0.1464502066373825,0.005196984391659498,0.9632405042648315
11,5,Manipulation,11,non_holder,0.03317718715496144,0.10127252340316772,0.0033599375747144222,0.9677104353904724
11,5,Manipulation,12,non_holder,0.01581073073993011,0.06730625778436661,0.0010641611879691482,0.9839242100715637
11,5,Manipulation,13,holder,0.039270329776635936,0.1348945051431656,0.005297352094203234,-0.8947156071662903
11,5,Manipulation,14,non_holder,0.04655596287094407,0.11895109713077545,0.005537882912904024,0.9713053703308105
11,5,Replay,0,non_holder,0.17920750543457536,0.2293223738670349,0.041096288710832596,0.9564018249511719
11,5,Replay,1,holder,0.033765990953071506,0.11855065077543259,0.0040029799565672874,-0.8675161600112915
11,5,Replay,2,non_holder,0.027715636601085895,0.11900223791599274,0.003298222552984953,0.9572660326957703
11,5,Replay,3,non_holder,0.08175443067881731,0.1624927818775177,0.013284504413604736,0.952910304069519
11,5,Replay,4,holder,0.06399450821860342,0.1737516224384308,0.011119148693978786,-0.6307551860809326
11,5,Replay,5,non_holder,0.052472836425095884,0.15561583638191223,0.008165604434907436,0.9755754470825195
11,5,Replay,6,non_holder,0.2406300665729666,0.3683910071849823,0.08864594995975494,0.9835378527641296
11,5,Replay,7,non_holder,0.026203164285561475,0.09333501011133194,0.0024456726387143135,0.9735410213470459
11,5,Replay,8,non_holder,0.09916879135230468,0.13996608555316925,0.013880266807973385,0.9552857875823975
11,5,Replay,9,non_holder,0.024786500486949116,0.08124687522649765,0.0020138255786150694,0.9676980972290039
11,5,Replay,10,holder,0.035486358448497346,0.12471504509449005,0.004425683058798313,-0.82743239402771
11,5,Replay,11,non_holder,0.03317718715496144,0.10072223097085953,0.003341680159792304,0.9551127552986145
11,5,Replay,12,non_holder,0.01581073073993011,0.06722985953092575,0.00106295314617455,0.9697470664978027
11,5,Replay,13,non_holder,0.039270329776635936,0.1597868800163269,0.006274883169680834,0.9548619389533997
11,5,Replay,14,non_holder,0.04655596287094407,0.1204531267285347,0.005607811734080315,0.9607738256454468
11,10,Manipulation,0,non_holder,0.17920750543457536,0.2911983132362366,0.05218492075800896,0.9316112995147705
11,10,Manipulation,1,non_holder,0.033765990953071506,0.13057120144367218,0.0044088661670684814,0.9343741536140442
